,athlete_id,region,age,height,weight,pullups,experience,is_male,experience_level,diet,athletic_background,workout_schedule,BMI,total_lift
71147,24423.0,South Central,52.0,75.0,200.0,14.0,Beginner without coach,1,Expert,Not Provided,Recreational Sports,Multiple workouts per day,24.995555555555555,1045.0
71148,90426.0,North Central,37.0,69.0,160.0,27.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,23.625288804872927,875.0
71155,257858.0,Canada East,44.0,70.0,156.0,18.0,Beginner without coach,1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,22.38122448979592,820.0
71164,393824.0,Europe,49.0,71.0,191.0,6.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.636183296964887,862.0
71226,588389.0,Central East,28.0,72.0,170.0,24.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,23.053626543209877,795.0
71247,98934.0,Canada West,54.0,70.0,210.0,5.0,Beginner without coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,30.12857142857143,935.0
71248,168857.0,Northern California,38.0,73.0,218.0,15.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,28.758491274160257,905.0
71251,181016.0,South East,50.0,71.0,175.0,38.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.404879984130133,850.0
71252,239276.0,Southern California,41.0,66.0,164.0,35.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.467401285583104,920.0
71316,296769.0,North Central,40.0,62.0,107.0,8.0,Not Provided,0,Not Provided,Not Provided,Not Provided,Not Provided,19.568418314255982,440.0
71450,83522.0,Central East,25.0,72.0,205.0,55.0,Beginner without coach,1,Proficient,Normal Diet,College or High School Sports,Multiple workouts per day,27.799961419753085,1535.0
71452,243226.0,South East,30.0,71.0,185.0,40.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Flexible,25.799444554651856,1295.0
71456,117630.0,North Central,24.0,66.0,169.0,44.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,27.27433425160698,1120.0
71458,74331.0,North East,29.0,76.0,206.0,30.0,Beginner with coach,1,Proficient,Normal Diet,College or High School Sports,Flexible,25.07236842105263,1300.0
71459,234444.0,South West,21.0,69.0,185.0,45.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Flexible,27.31674018063432,1380.0
71470,104407.0,North West,27.0,76.0,200.0,44.0,Not Provided,1,Proficient,Not Provided,Not Provided,Not Provided,24.342105263157894,1360.0
71473,180180.0,Mid Atlantic,30.0,69.0,170.0,20.0,Beginner without coach,1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,25.101869355177485,1055.0
71474,140427.0,North West,37.0,72.0,195.0,14.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Multiple workouts per day,26.44386574074074,1040.0
71475,129056.0,North West,53.0,68.0,194.0,26.0,Beginner with coach,1,Proficient,Not Provided,College or High School Sports,Single workout per day,29.494377162629757,1040.0
71476,477408.0,Southern California,30.0,73.0,185.0,37.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.40514167761306,1260.0
71479,513066.0,North Central,25.0,70.0,165.0,42.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,23.672448979591838,945.0
71483,358159.0,Northern California,28.0,70.0,170.0,37.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,24.389795918367348,950.0
71485,267405.0,Australia,28.0,69.0,187.0,40.0,Beginner without coach,1,Proficient,Normal Diet,Not Provided,Flexible,27.612056290695232,1422.0
71492,150775.0,Northern California,32.0,72.0,195.0,21.0,Not Provided,1,Proficient,Not Provided,Not Provided,Not Provided,26.44386574074074,1080.0
71496,126811.0,Latin America,27.0,70.0,147.0,20.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,21.09,815.0
71501,102336.0,Canada East,46.0,69.0,230.0,12.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,33.96135265700483,1060.0
71504,131080.0,North West,44.0,70.0,215.0,11.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,30.84591836734694,1075.0
71515,591722.0,Canada East,24.0,69.0,182.0,29.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Professional Sports,Multiple workouts per day,26.87376601554295,955.0
71537,481749.0,Central East,26.0,71.0,170.0,17.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,23.70759769886927,910.0
71542,509648.0,Europe,26.0,70.0,170.0,13.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Flexible,24.389795918367348,668.0
71560,382072.0,South West,32.0,66.0,145.0,12.0,Beginner with coach,0,Amateur,Normal Diet,Recreational Sports,Single workout per day,23.40105601469238,825.0
71579,112029.0,Central East,33.0,61.0,115.0,12.0,Beginner with coach,0,Proficient,Normal Diet,Recreational Sports,Single workout per day,21.726686374630475,580.0
71590,9066.0,Central East,37.0,68.0,175.0,20.0,Not Provided,0,Not Provided,Not Provided,Not Provided,Not Provided,26.60575259515571,595.0
71610,191486.0,Southern California,36.0,64.0,212.0,1.0,Beginner with coach,0,Proficient,Not Provided,Recreational Sports,Single workout per day,36.3857421875,600.0
71655,122096.0,Australia,24.0,71.0,190.0,40.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,26.496726839912714,1343.0
71674,481940.0,Australia,41.0,73.0,176.0,16.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,23.21786451491837,693.0
71715,578948.0,Europe,32.0,70.0,154.0,33.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,22.094285714285714,871.0
71785,531537.0,North East,33.0,72.0,205.0,15.0,Beginner with coach,1,Not Provided,Normal Diet,Recreational Sports,Single workout per day,27.799961419753085,800.0
71803,559619.0,Europe,34.0,71.0,265.0,1.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,36.95596111882563,1102.0
71847,200468.0,North Central,43.0,71.0,158.0,29.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,22.034120214243206,735.0
71867,444665.0,Europe,43.0,67.0,171.0,23.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.77946090443306,750.0
71877,473166.0,Central East,38.0,73.0,220.0,15.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,29.022330643647965,950.0
71884,486029.0,Latin America,40.0,69.0,147.0,30.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,21.705734089477,610.0
71889,497865.0,South West,29.0,70.0,175.0,4.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.107142857142858,675.0
71926,616983.0,Southern California,40.0,71.0,220.0,20.0,Beginner with coach,1,Expert,Normal Diet,Recreational Sports,Single workout per day,30.68042055147788,1040.0
71927,50753.0,North West,47.0,67.0,185.0,20.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,28.971931387836936,950.0
71948,466080.0,Europe,32.0,72.0,187.0,20.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.358989197530864,948.0
71978,543147.0,Central East,29.0,74.0,265.0,2.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Not Provided,34.020270270270274,1055.0
71995,511398.0,Canada East,19.0,67.0,129.0,10.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,20.20204945422143,635.0
72020,559453.0,South Central,37.0,65.0,168.0,30.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,27.95360946745562,870.0
72032,329027.0,North East,32.0,66.0,200.0,15.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,32.277318640955,995.0
72038,451388.0,Europe,32.0,69.0,155.0,38.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,22.886998529720646,771.0
72142,135700.0,North East,31.0,68.0,215.0,15.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,32.68706747404844,1205.0
72172,476825.0,Central East,34.0,67.0,200.0,21.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,31.32100690576966,1405.0
72187,513157.0,Europe,27.0,71.0,180.0,8.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.102162269390995,705.0
72224,222649.0,South West,36.0,66.0,133.0,27.0,Beginner without coach,1,Expert,Not Provided,Recreational Sports,Single workout per day,21.46441689623508,850.0
72255,440157.0,Latin America,28.0,69.0,158.0,12.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.329972694812014,910.0
72314,570338.0,Mid Atlantic,34.0,71.0,255.0,3.0,Not Provided,1,Amateur,Normal Diet,Not Provided,Not Provided,35.56139654830391,990.0
72330,288762.0,South East,52.0,70.0,167.0,30.0,Beginner with coach,1,Proficient,Normal Diet,Not Provided,Single workout per day,23.95938775510204,1000.0
72360,540382.0,Northern California,44.0,72.0,215.0,15.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,29.156057098765434,880.0
72362,545186.0,Europe,25.0,67.0,175.0,20.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,27.40588104254845,749.0
72371,336960.0,North West,45.0,70.0,175.0,25.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.107142857142858,1080.0
72435,506868.0,Europe,28.0,71.0,163.0,10.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,22.731402499504068,734.0
72436,508806.0,South Central,37.0,71.0,170.0,29.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.70759769886927,825.0
72452,587381.0,Central East,40.0,75.0,194.0,24.0,Beginner with coach,1,Amateur,Not Provided,Not Provided,Single workout per day,24.24568888888889,850.0
72476,286637.0,Northern California,42.0,72.0,170.0,18.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,23.053626543209877,820.0
72479,131772.0,North Central,47.0,71.0,205.0,11.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,28.5885736956953,1200.0
72486,261730.0,Australia,40.0,68.0,145.0,15.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,22.04476643598616,672.0
72500,458598.0,North Central,25.0,75.0,245.0,11.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Flexible,30.619555555555557,1125.0
72502,470482.0,Northern California,31.0,65.0,137.0,26.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,22.79550295857988,720.0
72504,475854.0,Canada West,40.0,72.0,190.0,3.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.765817901234566,705.0
72507,480453.0,Africa,28.0,68.0,160.0,32.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.325259515570934,832.0
72581,288531.0,Central East,40.0,72.0,235.0,5.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,31.868248456790123,1165.0
72669,61863.0,Canada West,53.0,66.0,161.0,10.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,25.983241505968778,745.0
72676,165606.0,North West,38.0,72.0,250.0,12.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,33.90239197530864,1305.0
72708,506229.0,Southern California,22.0,71.0,155.0,23.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,21.61575084308669,790.0
72782,353494.0,South West,49.0,72.0,219.0,5.0,Beginner with coach,1,Amateur,Not Provided,Recreational Sports,Single workout per day,29.69849537037037,900.0
72833,562004.0,Northern California,49.0,72.0,209.0,14.0,Beginner without coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,28.342399691358025,1030.0
72871,144627.0,North East,28.0,72.0,275.0,2.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,37.292631172839506,1395.0
72910,507195.0,Mid Atlantic,39.0,78.0,275.0,10.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,31.775969756738988,1010.0
72931,547152.0,North Central,30.0,73.0,300.0,5.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,39.575905423156314,1090.0
72971,144834.0,Mid Atlantic,43.0,67.0,165.0,10.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.83983069725997,810.0
72973,219301.0,North East,39.0,69.0,219.0,3.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Professional Sports,Single workout per day,32.337114051669815,1010.0
72976,278187.0,North Central,33.0,68.0,135.0,45.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,20.524437716262977,680.0
72980,286418.0,North Central,27.0,70.0,140.0,10.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,20.085714285714285,857.0
73007,496744.0,Europe,42.0,70.0,203.0,1.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,29.124285714285715,772.0
73060,230058.0,Europe,28.0,73.0,191.0,41.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Professional Sports,Multiple workouts per day,25.196659786076186,1260.0
73066,281847.0,North East,42.0,70.0,208.0,1.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Flexible,29.841632653061225,840.0
73113,540987.0,Europe,37.0,72.0,187.0,20.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.358989197530864,948.0
73126,587052.0,Europe,44.0,70.0,175.0,29.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.107142857142858,893.0
73135,133576.0,Central East,29.0,72.0,210.0,19.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,28.47800925925926,1055.0
73153,530136.0,Latin America,23.0,67.0,155.0,10.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.273780351971485,640.0
73200,87715.0,Central East,42.0,72.0,225.0,21.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Single workout per day,30.51215277777778,1190.0
73204,236709.0,Canada East,47.0,70.0,170.0,12.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.389795918367348,930.0
73214,429056.0,Africa,22.0,74.0,185.0,10.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,23.75,760.0
73222,613097.0,Southern California,39.0,69.0,260.0,10.0,Beginner with coach,1,Amateur,Not Provided,Recreational Sports,Flexible,38.39109430791851,1215.0
73235,509354.0,North East,39.0,68.0,162.0,13.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.62932525951557,650.0
73264,515234.0,Australia,40.0,82.0,213.0,10.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,22.269333729922664,701.0
73295,135888.0,South Central,40.0,73.0,220.0,27.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,29.022330643647965,866.0
73303,273893.0,North Central,52.0,71.0,175.0,10.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.404879984130133,880.0
73305,293423.0,Europe,32.0,70.0,176.0,25.0,Beginner with coach,1,Amateur,Normal Diet,Not Provided,Single workout per day,25.250612244897958,849.0
73311,365193.0,South East,27.0,67.0,120.0,28.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,18.792604143461794,670.0
73321,463763.0,Europe,20.0,63.0,119.0,30.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,21.077601410934744,705.0
73329,26529.0,Central East,51.0,70.0,190.0,20.0,Advanced (Trainer/Courses),1,Expert,Normal Diet,Recreational Sports,Single workout per day,27.259183673469387,950.0
73451,493787.0,South East,50.0,72.0,225.0,15.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,30.51215277777778,1095.0
73492,556816.0,Central East,36.0,70.0,240.0,2.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,34.43265306122449,825.0
73521,370205.0,Europe,35.0,70.0,209.0,12.0,Beginner with coach,1,Amateur,Not Provided,Recreational Sports,Not Provided,29.985102040816326,827.0
73533,350274.0,Europe,29.0,72.0,185.0,3.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.087770061728396,822.0
73542,500880.0,Europe,43.0,70.0,174.0,4.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,24.963673469387754,738.0
73543,468009.0,Europe,35.0,70.0,174.0,21.0,Beginner without coach,1,Amateur,Normal Diet,Professional Sports,Single workout per day,24.963673469387754,800.0
73590,572530.0,Europe,36.0,71.0,195.0,4.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,27.194009125173576,738.0
73606,142797.0,South Central,36.0,70.0,179.0,17.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,25.681020408163267,880.0
73610,182163.0,Australia,42.0,71.0,174.0,8.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Flexible,24.26542352707796,764.0
73612,253376.0,Australia,42.0,64.0,136.0,12.0,Beginner with coach,1,Amateur,Normal Diet,Not Provided,Single workout per day,23.341796875,749.0
73650,514930.0,Central East,39.0,74.0,250.0,1.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Not Provided,32.0945945945946,995.0
73711,165693.0,North East,50.0,70.0,188.0,7.0,Beginner with coach,1,Expert,Normal Diet,Recreational Sports,Single workout per day,26.972244897959182,850.0
73756,512559.0,North East,44.0,71.0,210.0,25.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,29.28585598095616,855.0
73786,571940.0,Asia,44.0,71.0,176.0,15.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.544336441182306,790.0
73805,237345.0,Canada East,47.0,68.0,205.0,5.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Single workout per day,31.16673875432526,790.0
73892,605099.0,Australia,33.0,72.0,265.0,5.0,Beginner with coach,1,Amateur,Not Provided,College or High School Sports,Single workout per day,35.93653549382716,1163.0
73911,284843.0,North East,36.0,65.0,155.0,22.0,Beginner with coach,1,Amateur,Not Provided,Recreational Sports,Single workout per day,25.7905325443787,825.0
73954,521576.0,South East,26.0,74.0,200.0,10.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.675675675675677,845.0
74095,601713.0,North East,54.0,73.0,230.0,2.0,Beginner without coach,1,Amateur,Not Provided,College or High School Sports,Single workout per day,30.34152749108651,895.0
74105,117910.0,North West,35.0,71.0,165.0,33.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,23.01031541360841,870.0
74124,476622.0,Europe,44.0,74.0,183.0,8.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,23.493243243243242,760.0
74138,490087.0,North East,46.0,74.0,210.0,1.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.95945945945946,750.0
74203,117500.0,Mid Atlantic,49.0,72.0,175.0,26.0,Beginner without coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,23.73167438271605,795.0
74215,373418.0,North Central,34.0,74.0,210.0,2.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.95945945945946,840.0
74216,346293.0,North Central,35.0,73.0,305.0,8.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,40.23550384687559,1150.0
74234,487870.0,Europe,40.0,70.0,225.0,9.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,College or High School Sports,Multiple workouts per day,32.28061224489796,766.0
74261,540285.0,North East,47.0,68.0,188.0,12.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,28.58217993079585,780.0
74296,128338.0,Australia,48.0,74.0,246.0,3.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Flexible,31.58108108108108,1058.0
74312,139441.0,Northern California,43.0,71.0,170.0,25.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,23.70759769886927,775.0
74317,207369.0,South East,44.0,70.0,230.0,5.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,32.99795918367347,1110.0
74329,463288.0,North East,24.0,64.0,130.0,35.0,Advanced (Trainer/Courses),1,Amateur,Normal Diet,Recreational Sports,Single workout per day,22.31201171875,805.0
74398,114607.0,North West,50.0,73.0,200.0,25.0,Advanced (Trainer/Courses),1,Proficient,Normal Diet,Recreational Sports,Not Provided,26.383936948770877,920.0
74402,155922.0,South Central,51.0,71.0,205.0,22.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,28.5885736956953,1025.0
74406,303323.0,North West,51.0,77.0,261.0,1.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,30.94670264800135,805.0
74407,7610.0,Mid Atlantic,54.0,65.0,170.0,30.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,28.286390532544377,950.0
74412,433177.0,Northern California,32.0,72.0,167.0,16.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,22.646797839506174,690.0
74417,467119.0,Northern California,32.0,76.0,270.0,5.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,32.86184210526316,950.0
74436,486506.0,North East,40.0,74.0,300.0,3.0,Beginner with coach,1,Amateur,Not Provided,Recreational Sports,Single workout per day,38.513513513513516,1365.0
74455,539168.0,Europe,28.0,74.0,185.0,24.0,Beginner with coach,1,Amateur,Normal Diet,Not Provided,Multiple workouts per day,23.75,749.0
74492,199386.0,South East,39.0,71.0,222.0,18.0,Beginner with coach,1,Expert,Normal Diet,Recreational Sports,Single workout per day,30.959333465582226,990.0
74541,476750.0,North East,29.0,73.0,206.0,5.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Flexible,27.175455057234004,740.0
74589,179637.0,Canada West,30.0,72.0,197.0,17.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,26.71508487654321,890.0
74590,580809.0,Central East,42.0,67.0,215.0,5.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,33.67008242370238,835.0
74638,479613.0,North West,27.0,76.0,280.0,7.0,Beginner with coach,1,Amateur,Not Provided,College or High School Sports,Single workout per day,34.078947368421055,1380.0
74686,108256.0,Central East,40.0,69.0,219.0,5.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,32.337114051669815,825.0
74708,108870.0,South East,35.0,67.0,171.0,24.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,26.77946090443306,820.0
74812,117958.0,North East,39.0,66.0,170.0,21.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,27.435720844811755,900.0
74821,331168.0,North Central,31.0,73.0,230.0,16.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Flexible,30.34152749108651,1180.0
74826,424137.0,North Central,49.0,66.0,145.0,10.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,23.40105601469238,600.0
74888,115101.0,South East,46.0,74.0,214.0,17.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,27.472972972972972,1165.0
74892,264965.0,Central East,46.0,76.0,222.0,7.0,Not Provided,1,Amateur,Not Provided,Not Provided,Not Provided,27.019736842105264,1035.0
74893,303429.0,Europe,31.0,70.0,157.0,15.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,22.52469387755102,639.0
74913,470914.0,Europe,18.0,71.0,158.0,27.0,Beginner with coach,1,Amateur,Normal Diet,College or High School Sports,Single workout per day,22.034120214243206,937.0
74917,485990.0,Central East,33.0,73.0,206.0,19.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,27.175455057234004,860.0
74920,494319.0,Canada West,41.0,68.0,150.0,12.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,22.80493079584775,635.0
75005,388092.0,South East,44.0,69.0,165.0,36.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.363579080025204,855.0
75013,294406.0,Latin America,25.0,73.0,198.0,60.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,26.12009757928317,1123.0
75014,469081.0,South East,39.0,71.0,177.0,6.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.683792898234476,765.0
75036,489488.0,South East,43.0,70.0,155.0,15.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,22.237755102040815,805.0
75038,523090.0,North East,36.0,70.0,175.0,10.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.107142857142858,715.0
75072,569572.0,North Central,33.0,65.0,145.0,10.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.12662721893491,635.0
75132,512821.0,Southern California,42.0,68.0,165.0,18.0,Beginner with coach,1,Proficient,Normal Diet,Recreational Sports,Single workout per day,25.085423875432525,780.0
75133,516268.0,South West,29.0,73.0,205.0,22.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,27.043535372490147,1065.0
75140,501121.0,Canada East,38.0,69.0,175.0,10.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,25.84015963032976,705.0
75164,553540.0,North East,41.0,71.0,195.0,2.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,27.194009125173576,967.0
75205,343048.0,Southern California,34.0,68.0,155.0,30.0,Not Provided,1,Amateur,Not Provided,Recreational Sports,Not Provided,23.565095155709344,640.0
75314,451594.0,Europe,27.0,68.0,183.0,8.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Multiple workouts per day,27.822015570934255,833.0
75319,483891.0,Southern California,36.0,66.0,129.0,33.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,20.818870523415978,685.0
75342,531419.0,Latin America,38.0,66.0,150.0,15.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,24.207988980716255,640.0
75396,198610.0,North East,50.0,70.0,208.0,10.0,Beginner without coach,1,Expert,Normal Diet,Recreational Sports,Single workout per day,29.841632653061225,1015.0
75489,239583.0,Europe,32.0,71.0,163.0,23.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,22.731402499504068,660.0
75493,262956.0,South Central,41.0,66.0,180.0,15.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,29.049586776859503,895.0
75499,275541.0,Europe,49.0,73.0,220.0,6.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,29.022330643647965,959.0
75506,394856.0,Mid Atlantic,30.0,72.0,205.0,11.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Flexible,27.799961419753085,865.0
75509,437651.0,Europe,31.0,69.0,167.0,16.0,Beginner without coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,24.658895190086117,827.0
75512,444439.0,Asia,31.0,69.0,154.0,12.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,22.73934047469019,738.0
75565,582038.0,South Central,37.0,72.0,205.0,10.0,Beginner with coach,1,Amateur,Normal Diet,Recreational Sports,Single workout per day,27.799961419753085,785.0
75583,97814.0,Central East,46.0,64.0,210.0,5.0,Not Provided,1,Not Provided,Not Provided,Not Provided,Not Provided,36.04248046875,1150.0
